k,optimizer,best_A,best_B,best_C,best_D
1.7647,AdaGrad,0.012727272727272728,0.4587155963302752,0.5649717514124294,0.4587155963302752
1.7647,AdamW,0.22593793103448276,0.4618937644341801,0.5102040816326531,0.4514672686230249
1.7647,SGD_Nesterov,0.9259259259259258,0.49751243781094534,0.9852216748768474,0.49751243781094534
1.7647,Lion,0.0,0.24570024570024568,0.30165912518853694,0.24570024570024568
2.3529,GD_fixed,0.8849557522123894,0.3780718336483932,0.9852216748768474,0.3780718336483932
2.3529,Adam,0.2480625,0.46511627906976744,0.5376344086021505,0.4597701149425288
2.3529,RMSProp,1.0,0.3853564547206165,0.7380073800738007,0.3853564547206165
2.3529,AdaGrad,0.006805555555555556,0.4566210045662101,0.5649717514124294,0.4566210045662101
2.3529,AdamW,0.24612813370473538,0.46511627906976744,0.53475935828877,0.4597701149425288
2.3529,SGD_Nesterov,0.9661835748792271,0.56657223796034,0.9900990099009901,0.56657223796034
2.3529,Lion,0.0,0.24630541871921185,0.31446540880503143,0.24630541871921185
2.9412,GD_fixed,0.9302325581395349,0.44150110375275936,0.9900990099009901,0.44150110375275936
2.9412,Adam,0.2574893009985734,0.46511627906976744,0.5617977528089888,0.4608294930875576
2.9412,RMSProp,1.0,0.3861003861003861,0.7352941176470588,0.3861003861003861
2.9412,AdaGrad,0.006206896551724138,0.4566210045662101,0.5847953216374269,0.4566210045662101
2.9412,AdamW,0.25675675675675674,0.46511627906976744,0.5602240896358543,0.4608294930875576
2.9412,SGD_Nesterov,0.9756097560975611,0.6097560975609756,0.9950248756218907,0.6097560975609756
2.9412,Lion,0.0,0.24752475247524752,0.3327787021630616,0.24752475247524752
3.5294,GD_fixed,0.9389671361502347,0.48661800486618,0.9900990099009901,0.48661800486618
3.5294,Adam,0.25847322720694643,0.4662004662004662,0.5847953216374269,0.4629629629629629
3.5294,RMSProp,1.0,0.38759689922480617,0.7326007326007326,0.38759689922480617
3.5294,AdaGrad,0.004,0.4566210045662101,0.5847953216374269,0.4566210045662101
3.5294,AdamW,0.2569444444444445,0.46511627906976744,0.5847953216374269,0.4618937644341801
3.5294,SGD_Nesterov,0.9756097560975611,0.6514657980456027,1.0,0.6514657980456027
3.5294,Lion,0.0,0.24600246002460022,0.34423407917383825,0.24600246002460022
4.1176,GD_fixed,0.9569377990430623,0.5235602094240838,0.9900990099009901,0.5235602094240838
4.1176,Adam,0.2707042253521127,0.4662004662004662,0.6006006006006006,0.46511627906976744
4.1176,RMSProp,1.0,0.3883495145631068,0.7326007326007326,0.3883495145631068
4.1176,AdaGrad,0.0025,0.45766590389016015,0.5934718100890207,0.45766590389016015
